line_no,doi,compound,entity,title,year,authors,existing_sources
26,10.1002/prot.70055,,,In Silico Characterization of Bromo-DragonFLY Binding to the 5-HT(2A) Receptor: Molecular Insights Into a Potent Designer Psychedelic.,2026,Tariq SS; Qureshi U; Mushtaq M; Munsif S; Nur-E-Alam M; Hawwal MF; Wang Y; Ul-Haq Z,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
30,10.3390/ph19020316,,,Ischemia-Induced Neurodegeneration in Glaucoma: Mechanistic Insights and Translational Opportunities for Psychoplastogen-Based Therapies.,2026,Dolenec P; Pelčić G; Pilipović K; Mršić-Pelčić J; Hrkać AH,candidate_paper_corpus | mechanistic:paper_library
35,10.1016/j.pnpbp.2026.111651,,,Ketamine pharmacotherapy for major depressive disorder: A narrative review.,2026,Miller CH; Hickman A; Baten C; Ali Z; Kahlon SK; Klassen AM; Zamora G; Shepherd JH; Venegas G; Miller JA,candidate_paper_corpus | disorder:paper_library
36,10.1038/s41380-025-03338-w,,,"Ketamine reduces microglial activation and brain monocyte infiltration and promotes peripheral regulatory immune cells, relieving lipopolysaccharide (LPS)-induced depressive-like behavior in mice.",2026,Arena AR; Rubinstein MR; Genaro AM; Tifner V; Risnik DM; López-Carvajal JE; Daray FM; Carrera Silva EA; Errasti AE,candidate_paper_corpus | mechanistic:paper_library
37,10.1080/14728222.2026.2619757,,,"Modulating tonic NMDA receptor currents: mechanistic insights into ketamine, esketamine, and dextromethorphan for major depressive disorder and implications for the discovery and development of investigational agents.",2026,Le GH; McIntyre RS,candidate_paper_corpus | disorder:exploratory | disorder:paper_library | disorder:stubs | mechanistic:paper_library | mechanistic:stubs
39,10.1016/j.biopsych.2025.07.004,,,Mu Opioid Receptor Activation Is Required for NMDA Receptor Antagonist Effects on Stress-Induced Maladaptive Behavior.,2026,Langreck CB; Chen BK; Luna VM; Nelson M; Turi G; Hill R; Rubinstenn G; Canals M; Lane JR; Denny CA,candidate_paper_corpus | mechanistic:paper_library
42,10.1038/s41598-026-39483-7,,,Network pharmacology and molecular simulation reveal the entourage effect mechanisms of psilocybin-producing mushrooms on the brain.,2026,Murray Z; Lewies A; Wentzel JF; Schutte-Smith M; Erasmus E; Noreljaleel A; Visser H; Wilhelm A; Issahaku AR,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
44,10.1038/s41380-025-03308-2,,,"Neuropharmacology of halogenated DMT analogs: psychoplastogenic and antidepressant properties of 5-Br-DMT, a psychedelic derivative with low hallucinogenic potential.",2026,Puigseslloses P; Nadal-Gratacós N; Fumàs B; Modenutti CP; Pottie E; Ortigosa JR; Pablo-Quesada A; Riera-Colomer C; Ettcheto M; Berzosa X,candidate_paper_corpus | disorder:curated | disorder:paper_library | mechanistic:curated | mechanistic:paper_library
45,10.1111/bcpt.70221,,,Neuroprotective Effects of Esketamine in Central Nervous System Disorders: Mechanisms and Cellular Targets.,2026,Zhao C; Wang Y; Wu J; Cheng H,candidate_paper_corpus | mechanistic:paper_library
47,10.3390/biomedicines14020476,,,Opioid Receptors in Psychedelia: Indirect Serotonergic Modulation of Direct KOR Activation by Salvinorin A.,2026,Ganado M; Rubio C; Pérez-Villavicencio J; Serrano N; Romo-Parra H; Lee Á; Rubio-Osornio M,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
49,10.21203/rs.3.rs-9103509/v1,,,Oxa-noribogaine reduces alcohol drinking through aversion learning and by altering glutamatergic activity in the mPFC.,2026,Meinhardt M; Skorodumov I; Walter F; Akan M; Buchborn T; LE Prieult Y; Urban M; Spanagel R; von Ammon L; Hopf C,candidate_paper_corpus | disorder:paper_library
50,10.1016/j.mcn.2026.104076,,,"Pharmacological regulation of adult brain neuroplasticity: Synergistic roles of neuropeptide signaling, psychedelics, and synaptic modulators.",2026,Shokr MM; Fawzy MN; Abdelaziz AM,candidate_paper_corpus | mechanistic:paper_library
51,10.1038/s41598-026-38091-9,,,Pilot study of psilocybin in patients with post-treatment lyme disease.,2026,Garcia-Romeu A; Naudé GP; Rebman AW; So S; Yaffe A; Geithner I; Kozero EA; Yang T; Soloski MJ; Aucott JN,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
52,10.1038/s41380-026-03590-8,,,Pleiotropic modulation of the gut-brain-lung axis by ketamine and its enantiomers.,2026,Zhao X; Zhang X; Yuan S; Hashimoto K; Zhang J,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
53,10.2147/dddt.s579462,,,Progress in the Application of Esketamine During the Perioperative Period.,2026,Wang JS; Hu Q; Cao RY; Liu WK; Guo ML; Lin Y; Zhong ML; Liang WD; Wang L,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
54,10.7554/elife.104006,,,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons.,2026,Schmidt M; Hoffrichter A; Davoudi M; Horschitz S; Lau T; Meinhardt MW; Spanagel R; Ladewig J; Köhr G; Koch P,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
