# query|compound|entity
25C-NBOMe DAT SLC6A3 functional assay agonist antagonist|25C-NBOMe|DAT (SLC6A3)
25C-NBOMe VMAT2 SLC18A2 binding affinity Ki|25C-NBOMe|VMAT2 (SLC18A2)
25C-NBOMe VMAT2 SLC18A2 receptor pharmacology assay|25C-NBOMe|VMAT2 (SLC18A2)
25C-NBOMe VMAT2 SLC18A2 functional assay agonist antagonist|25C-NBOMe|VMAT2 (SLC18A2)
25C-NBOMe D1 receptor DRD1 binding affinity Ki|25C-NBOMe|D1 receptor (DRD1)
25C-NBOMe D1 receptor DRD1 receptor pharmacology assay|25C-NBOMe|D1 receptor (DRD1)
25C-NBOMe D1 receptor DRD1 functional assay agonist antagonist|25C-NBOMe|D1 receptor (DRD1)
25C-NBOMe D2 receptor DRD2 binding affinity Ki|25C-NBOMe|D2 receptor (DRD2)
25C-NBOMe D2 receptor DRD2 receptor pharmacology assay|25C-NBOMe|D2 receptor (DRD2)
25C-NBOMe D2 receptor DRD2 functional assay agonist antagonist|25C-NBOMe|D2 receptor (DRD2)
25C-NBOMe D3 receptor DRD3 binding affinity Ki|25C-NBOMe|D3 receptor (DRD3)
25C-NBOMe D3 receptor DRD3 receptor pharmacology assay|25C-NBOMe|D3 receptor (DRD3)
25C-NBOMe D3 receptor DRD3 functional assay agonist antagonist|25C-NBOMe|D3 receptor (DRD3)
25C-NBOMe D4 receptor DRD4 binding affinity Ki|25C-NBOMe|D4 receptor (DRD4)
25C-NBOMe D4 receptor DRD4 receptor pharmacology assay|25C-NBOMe|D4 receptor (DRD4)
25C-NBOMe D4 receptor DRD4 functional assay agonist antagonist|25C-NBOMe|D4 receptor (DRD4)
25C-NBOMe D5 receptor DRD5 binding affinity Ki|25C-NBOMe|D5 receptor (DRD5)
25C-NBOMe D5 receptor DRD5 receptor pharmacology assay|25C-NBOMe|D5 receptor (DRD5)
25C-NBOMe D5 receptor DRD5 functional assay agonist antagonist|25C-NBOMe|D5 receptor (DRD5)
25C-NBOMe Alpha1A adrenergic receptor ADRA1A binding affinity Ki|25C-NBOMe|Alpha1A adrenergic receptor (ADRA1A)
25C-NBOMe Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|25C-NBOMe|Alpha1A adrenergic receptor (ADRA1A)
25C-NBOMe Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|25C-NBOMe|Alpha1A adrenergic receptor (ADRA1A)
25C-NBOMe Alpha1B adrenergic receptor ADRA1B binding affinity Ki|25C-NBOMe|Alpha1B adrenergic receptor (ADRA1B)
25C-NBOMe Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|25C-NBOMe|Alpha1B adrenergic receptor (ADRA1B)
25C-NBOMe Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|25C-NBOMe|Alpha1B adrenergic receptor (ADRA1B)
25C-NBOMe Alpha2A adrenergic receptor ADRA2A binding affinity Ki|25C-NBOMe|Alpha2A adrenergic receptor (ADRA2A)
25C-NBOMe Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|25C-NBOMe|Alpha2A adrenergic receptor (ADRA2A)
25C-NBOMe Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|25C-NBOMe|Alpha2A adrenergic receptor (ADRA2A)
25C-NBOMe Alpha2B adrenergic receptor ADRA2B binding affinity Ki|25C-NBOMe|Alpha2B adrenergic receptor (ADRA2B)
25C-NBOMe Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|25C-NBOMe|Alpha2B adrenergic receptor (ADRA2B)
25C-NBOMe Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|25C-NBOMe|Alpha2B adrenergic receptor (ADRA2B)
25C-NBOMe Alpha2C adrenergic receptor ADRA2C binding affinity Ki|25C-NBOMe|Alpha2C adrenergic receptor (ADRA2C)
25C-NBOMe Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|25C-NBOMe|Alpha2C adrenergic receptor (ADRA2C)
25C-NBOMe Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|25C-NBOMe|Alpha2C adrenergic receptor (ADRA2C)
25C-NBOMe Beta1 adrenergic receptor ADRB1 binding affinity Ki|25C-NBOMe|Beta1 adrenergic receptor (ADRB1)
25C-NBOMe Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|25C-NBOMe|Beta1 adrenergic receptor (ADRB1)
25C-NBOMe Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|25C-NBOMe|Beta1 adrenergic receptor (ADRB1)
25C-NBOMe Beta2 adrenergic receptor ADRB2 binding affinity Ki|25C-NBOMe|Beta2 adrenergic receptor (ADRB2)
25C-NBOMe Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|25C-NBOMe|Beta2 adrenergic receptor (ADRB2)
25C-NBOMe Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|25C-NBOMe|Beta2 adrenergic receptor (ADRB2)
25C-NBOMe M1 muscarinic receptor CHRM1 binding affinity Ki|25C-NBOMe|M1 muscarinic receptor (CHRM1)
25C-NBOMe M1 muscarinic receptor CHRM1 receptor pharmacology assay|25C-NBOMe|M1 muscarinic receptor (CHRM1)
25C-NBOMe M1 muscarinic receptor CHRM1 functional assay agonist antagonist|25C-NBOMe|M1 muscarinic receptor (CHRM1)
25C-NBOMe M2 muscarinic receptor CHRM2 binding affinity Ki|25C-NBOMe|M2 muscarinic receptor (CHRM2)
25C-NBOMe M2 muscarinic receptor CHRM2 receptor pharmacology assay|25C-NBOMe|M2 muscarinic receptor (CHRM2)
25C-NBOMe M2 muscarinic receptor CHRM2 functional assay agonist antagonist|25C-NBOMe|M2 muscarinic receptor (CHRM2)
25C-NBOMe M3 muscarinic receptor CHRM3 binding affinity Ki|25C-NBOMe|M3 muscarinic receptor (CHRM3)
25C-NBOMe M3 muscarinic receptor CHRM3 receptor pharmacology assay|25C-NBOMe|M3 muscarinic receptor (CHRM3)
25C-NBOMe M3 muscarinic receptor CHRM3 functional assay agonist antagonist|25C-NBOMe|M3 muscarinic receptor (CHRM3)
25C-NBOMe M4 muscarinic receptor CHRM4 binding affinity Ki|25C-NBOMe|M4 muscarinic receptor (CHRM4)
25C-NBOMe M4 muscarinic receptor CHRM4 receptor pharmacology assay|25C-NBOMe|M4 muscarinic receptor (CHRM4)
25C-NBOMe M4 muscarinic receptor CHRM4 functional assay agonist antagonist|25C-NBOMe|M4 muscarinic receptor (CHRM4)
25C-NBOMe M5 muscarinic receptor CHRM5 binding affinity Ki|25C-NBOMe|M5 muscarinic receptor (CHRM5)
25C-NBOMe M5 muscarinic receptor CHRM5 receptor pharmacology assay|25C-NBOMe|M5 muscarinic receptor (CHRM5)
25C-NBOMe M5 muscarinic receptor CHRM5 functional assay agonist antagonist|25C-NBOMe|M5 muscarinic receptor (CHRM5)
25C-NBOMe H1 receptor HRH1 binding affinity Ki|25C-NBOMe|H1 receptor (HRH1)
25C-NBOMe H1 receptor HRH1 receptor pharmacology assay|25C-NBOMe|H1 receptor (HRH1)
25C-NBOMe H1 receptor HRH1 functional assay agonist antagonist|25C-NBOMe|H1 receptor (HRH1)
25C-NBOMe H2 receptor HRH2 binding affinity Ki|25C-NBOMe|H2 receptor (HRH2)
25C-NBOMe H2 receptor HRH2 receptor pharmacology assay|25C-NBOMe|H2 receptor (HRH2)
25C-NBOMe H2 receptor HRH2 functional assay agonist antagonist|25C-NBOMe|H2 receptor (HRH2)
25C-NBOMe Sigma-1 receptor SIGMAR1 binding affinity Ki|25C-NBOMe|Sigma-1 receptor (SIGMAR1)
25C-NBOMe Sigma-1 receptor SIGMAR1 receptor pharmacology assay|25C-NBOMe|Sigma-1 receptor (SIGMAR1)
25C-NBOMe Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|25C-NBOMe|Sigma-1 receptor (SIGMAR1)
25C-NBOMe Sigma-2 receptor TMEM97 binding affinity Ki|25C-NBOMe|Sigma-2 receptor (TMEM97)
25C-NBOMe Sigma-2 receptor TMEM97 receptor pharmacology assay|25C-NBOMe|Sigma-2 receptor (TMEM97)
25C-NBOMe Sigma-2 receptor TMEM97 functional assay agonist antagonist|25C-NBOMe|Sigma-2 receptor (TMEM97)
25C-NBOMe kappa opioid receptor OPRK1 binding affinity Ki|25C-NBOMe|kappa opioid receptor (OPRK1)
25C-NBOMe kappa opioid receptor OPRK1 receptor pharmacology assay|25C-NBOMe|kappa opioid receptor (OPRK1)
25C-NBOMe kappa opioid receptor OPRK1 functional assay agonist antagonist|25C-NBOMe|kappa opioid receptor (OPRK1)
25C-NBOMe mu opioid receptor OPRM1 binding affinity Ki|25C-NBOMe|mu opioid receptor (OPRM1)
25C-NBOMe mu opioid receptor OPRM1 receptor pharmacology assay|25C-NBOMe|mu opioid receptor (OPRM1)
25C-NBOMe mu opioid receptor OPRM1 functional assay agonist antagonist|25C-NBOMe|mu opioid receptor (OPRM1)
25C-NBOMe delta opioid receptor OPRD1 binding affinity Ki|25C-NBOMe|delta opioid receptor (OPRD1)
25C-NBOMe delta opioid receptor OPRD1 receptor pharmacology assay|25C-NBOMe|delta opioid receptor (OPRD1)
25C-NBOMe delta opioid receptor OPRD1 functional assay agonist antagonist|25C-NBOMe|delta opioid receptor (OPRD1)
25C-NBOMe NMDA receptor binding affinity Ki|25C-NBOMe|NMDA receptor
25C-NBOMe NMDA receptor pharmacology assay|25C-NBOMe|NMDA receptor
25C-NBOMe NMDA receptor functional assay agonist antagonist|25C-NBOMe|NMDA receptor
25C-NBOMe AMPA receptor binding affinity Ki|25C-NBOMe|AMPA receptor
25C-NBOMe AMPA receptor pharmacology assay|25C-NBOMe|AMPA receptor
25C-NBOMe AMPA receptor functional assay agonist antagonist|25C-NBOMe|AMPA receptor
25C-NBOMe TrkB NTRK2 binding affinity Ki|25C-NBOMe|TrkB (NTRK2)
25C-NBOMe TrkB NTRK2 receptor pharmacology assay|25C-NBOMe|TrkB (NTRK2)
25C-NBOMe TrkB NTRK2 functional assay agonist antagonist|25C-NBOMe|TrkB (NTRK2)
25C-NBOMe CB1 receptor CNR1 binding affinity Ki|25C-NBOMe|CB1 receptor (CNR1)
25C-NBOMe CB1 receptor CNR1 receptor pharmacology assay|25C-NBOMe|CB1 receptor (CNR1)
25C-NBOMe CB1 receptor CNR1 functional assay agonist antagonist|25C-NBOMe|CB1 receptor (CNR1)
25C-NBOMe CB2 receptor CNR2 binding affinity Ki|25C-NBOMe|CB2 receptor (CNR2)
25C-NBOMe CB2 receptor CNR2 receptor pharmacology assay|25C-NBOMe|CB2 receptor (CNR2)
25C-NBOMe CB2 receptor CNR2 functional assay agonist antagonist|25C-NBOMe|CB2 receptor (CNR2)
TMA 5-HT2A binding affinity Ki|TMA|5-HT2A
TMA 5-HT2A receptor pharmacology assay|TMA|5-HT2A
TMA 5-HT2A functional assay agonist antagonist|TMA|5-HT2A
TMA 5-HT2B binding affinity Ki|TMA|5-HT2B
TMA 5-HT2B receptor pharmacology assay|TMA|5-HT2B
TMA 5-HT2B functional assay agonist antagonist|TMA|5-HT2B
TMA 5-HT2C binding affinity Ki|TMA|5-HT2C
TMA 5-HT2C receptor pharmacology assay|TMA|5-HT2C
TMA 5-HT2C functional assay agonist antagonist|TMA|5-HT2C
TMA 5-HT1A binding affinity Ki|TMA|5-HT1A
TMA 5-HT1A receptor pharmacology assay|TMA|5-HT1A
TMA 5-HT1A functional assay agonist antagonist|TMA|5-HT1A
TMA 5-HT1B binding affinity Ki|TMA|5-HT1B
TMA 5-HT1B receptor pharmacology assay|TMA|5-HT1B
TMA 5-HT1B functional assay agonist antagonist|TMA|5-HT1B
TMA 5-HT1D binding affinity Ki|TMA|5-HT1D
TMA 5-HT1D receptor pharmacology assay|TMA|5-HT1D
TMA 5-HT1D functional assay agonist antagonist|TMA|5-HT1D
TMA 5-HT1E binding affinity Ki|TMA|5-HT1E
TMA 5-HT1E receptor pharmacology assay|TMA|5-HT1E
TMA 5-HT1E functional assay agonist antagonist|TMA|5-HT1E
TMA 5-HT1F binding affinity Ki|TMA|5-HT1F
TMA 5-HT1F receptor pharmacology assay|TMA|5-HT1F
TMA 5-HT1F functional assay agonist antagonist|TMA|5-HT1F
TMA 5-HT5A binding affinity Ki|TMA|5-HT5A
TMA 5-HT5A receptor pharmacology assay|TMA|5-HT5A
TMA 5-HT5A functional assay agonist antagonist|TMA|5-HT5A
TMA 5-HT6 binding affinity Ki|TMA|5-HT6
TMA 5-HT6 receptor pharmacology assay|TMA|5-HT6
TMA 5-HT6 functional assay agonist antagonist|TMA|5-HT6
TMA 5-HT7 binding affinity Ki|TMA|5-HT7
TMA 5-HT7 receptor pharmacology assay|TMA|5-HT7
TMA 5-HT7 functional assay agonist antagonist|TMA|5-HT7
TMA mGluR2 GRM2 binding affinity Ki|TMA|mGluR2 (GRM2)
TMA mGluR2 GRM2 receptor pharmacology assay|TMA|mGluR2 (GRM2)
TMA mGluR2 GRM2 functional assay agonist antagonist|TMA|mGluR2 (GRM2)
TMA TAAR1 binding affinity Ki|TMA|TAAR1
TMA TAAR1 receptor pharmacology assay|TMA|TAAR1
TMA TAAR1 functional assay agonist antagonist|TMA|TAAR1
TMA SERT SLC6A4 binding affinity Ki|TMA|SERT (SLC6A4)
TMA SERT SLC6A4 receptor pharmacology assay|TMA|SERT (SLC6A4)
TMA SERT SLC6A4 functional assay agonist antagonist|TMA|SERT (SLC6A4)
TMA NET SLC6A2 binding affinity Ki|TMA|NET (SLC6A2)
TMA NET SLC6A2 receptor pharmacology assay|TMA|NET (SLC6A2)
TMA NET SLC6A2 functional assay agonist antagonist|TMA|NET (SLC6A2)
TMA DAT SLC6A3 binding affinity Ki|TMA|DAT (SLC6A3)
TMA DAT SLC6A3 receptor pharmacology assay|TMA|DAT (SLC6A3)
TMA DAT SLC6A3 functional assay agonist antagonist|TMA|DAT (SLC6A3)
TMA VMAT2 SLC18A2 binding affinity Ki|TMA|VMAT2 (SLC18A2)
TMA VMAT2 SLC18A2 receptor pharmacology assay|TMA|VMAT2 (SLC18A2)
TMA VMAT2 SLC18A2 functional assay agonist antagonist|TMA|VMAT2 (SLC18A2)
TMA D1 receptor DRD1 binding affinity Ki|TMA|D1 receptor (DRD1)
TMA D1 receptor DRD1 receptor pharmacology assay|TMA|D1 receptor (DRD1)
TMA D1 receptor DRD1 functional assay agonist antagonist|TMA|D1 receptor (DRD1)
TMA D2 receptor DRD2 binding affinity Ki|TMA|D2 receptor (DRD2)
TMA D2 receptor DRD2 receptor pharmacology assay|TMA|D2 receptor (DRD2)
TMA D2 receptor DRD2 functional assay agonist antagonist|TMA|D2 receptor (DRD2)
TMA D3 receptor DRD3 binding affinity Ki|TMA|D3 receptor (DRD3)
TMA D3 receptor DRD3 receptor pharmacology assay|TMA|D3 receptor (DRD3)
TMA D3 receptor DRD3 functional assay agonist antagonist|TMA|D3 receptor (DRD3)
TMA D4 receptor DRD4 binding affinity Ki|TMA|D4 receptor (DRD4)
TMA D4 receptor DRD4 receptor pharmacology assay|TMA|D4 receptor (DRD4)
TMA D4 receptor DRD4 functional assay agonist antagonist|TMA|D4 receptor (DRD4)
TMA D5 receptor DRD5 binding affinity Ki|TMA|D5 receptor (DRD5)
TMA D5 receptor DRD5 receptor pharmacology assay|TMA|D5 receptor (DRD5)
TMA D5 receptor DRD5 functional assay agonist antagonist|TMA|D5 receptor (DRD5)
TMA Alpha1A adrenergic receptor ADRA1A binding affinity Ki|TMA|Alpha1A adrenergic receptor (ADRA1A)
TMA Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|TMA|Alpha1A adrenergic receptor (ADRA1A)
TMA Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|TMA|Alpha1A adrenergic receptor (ADRA1A)
TMA Alpha1B adrenergic receptor ADRA1B binding affinity Ki|TMA|Alpha1B adrenergic receptor (ADRA1B)
TMA Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|TMA|Alpha1B adrenergic receptor (ADRA1B)
TMA Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|TMA|Alpha1B adrenergic receptor (ADRA1B)
TMA Alpha2A adrenergic receptor ADRA2A binding affinity Ki|TMA|Alpha2A adrenergic receptor (ADRA2A)
TMA Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|TMA|Alpha2A adrenergic receptor (ADRA2A)
TMA Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|TMA|Alpha2A adrenergic receptor (ADRA2A)
TMA Alpha2B adrenergic receptor ADRA2B binding affinity Ki|TMA|Alpha2B adrenergic receptor (ADRA2B)
TMA Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|TMA|Alpha2B adrenergic receptor (ADRA2B)
TMA Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|TMA|Alpha2B adrenergic receptor (ADRA2B)
TMA Alpha2C adrenergic receptor ADRA2C binding affinity Ki|TMA|Alpha2C adrenergic receptor (ADRA2C)
TMA Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|TMA|Alpha2C adrenergic receptor (ADRA2C)
TMA Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|TMA|Alpha2C adrenergic receptor (ADRA2C)
TMA Beta1 adrenergic receptor ADRB1 binding affinity Ki|TMA|Beta1 adrenergic receptor (ADRB1)
TMA Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|TMA|Beta1 adrenergic receptor (ADRB1)
TMA Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|TMA|Beta1 adrenergic receptor (ADRB1)
TMA Beta2 adrenergic receptor ADRB2 binding affinity Ki|TMA|Beta2 adrenergic receptor (ADRB2)
TMA Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|TMA|Beta2 adrenergic receptor (ADRB2)
TMA Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|TMA|Beta2 adrenergic receptor (ADRB2)
TMA M1 muscarinic receptor CHRM1 binding affinity Ki|TMA|M1 muscarinic receptor (CHRM1)
TMA M1 muscarinic receptor CHRM1 receptor pharmacology assay|TMA|M1 muscarinic receptor (CHRM1)
TMA M1 muscarinic receptor CHRM1 functional assay agonist antagonist|TMA|M1 muscarinic receptor (CHRM1)
TMA M2 muscarinic receptor CHRM2 binding affinity Ki|TMA|M2 muscarinic receptor (CHRM2)
TMA M2 muscarinic receptor CHRM2 receptor pharmacology assay|TMA|M2 muscarinic receptor (CHRM2)
TMA M2 muscarinic receptor CHRM2 functional assay agonist antagonist|TMA|M2 muscarinic receptor (CHRM2)
TMA M3 muscarinic receptor CHRM3 binding affinity Ki|TMA|M3 muscarinic receptor (CHRM3)
TMA M3 muscarinic receptor CHRM3 receptor pharmacology assay|TMA|M3 muscarinic receptor (CHRM3)
TMA M3 muscarinic receptor CHRM3 functional assay agonist antagonist|TMA|M3 muscarinic receptor (CHRM3)
TMA M4 muscarinic receptor CHRM4 binding affinity Ki|TMA|M4 muscarinic receptor (CHRM4)
TMA M4 muscarinic receptor CHRM4 receptor pharmacology assay|TMA|M4 muscarinic receptor (CHRM4)
TMA M4 muscarinic receptor CHRM4 functional assay agonist antagonist|TMA|M4 muscarinic receptor (CHRM4)
TMA M5 muscarinic receptor CHRM5 binding affinity Ki|TMA|M5 muscarinic receptor (CHRM5)
TMA M5 muscarinic receptor CHRM5 receptor pharmacology assay|TMA|M5 muscarinic receptor (CHRM5)
TMA M5 muscarinic receptor CHRM5 functional assay agonist antagonist|TMA|M5 muscarinic receptor (CHRM5)
TMA H1 receptor HRH1 binding affinity Ki|TMA|H1 receptor (HRH1)
TMA H1 receptor HRH1 receptor pharmacology assay|TMA|H1 receptor (HRH1)
TMA H1 receptor HRH1 functional assay agonist antagonist|TMA|H1 receptor (HRH1)
TMA H2 receptor HRH2 binding affinity Ki|TMA|H2 receptor (HRH2)
TMA H2 receptor HRH2 receptor pharmacology assay|TMA|H2 receptor (HRH2)
TMA H2 receptor HRH2 functional assay agonist antagonist|TMA|H2 receptor (HRH2)
TMA Sigma-1 receptor SIGMAR1 binding affinity Ki|TMA|Sigma-1 receptor (SIGMAR1)
TMA Sigma-1 receptor SIGMAR1 receptor pharmacology assay|TMA|Sigma-1 receptor (SIGMAR1)
TMA Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|TMA|Sigma-1 receptor (SIGMAR1)
TMA Sigma-2 receptor TMEM97 binding affinity Ki|TMA|Sigma-2 receptor (TMEM97)
TMA Sigma-2 receptor TMEM97 receptor pharmacology assay|TMA|Sigma-2 receptor (TMEM97)
TMA Sigma-2 receptor TMEM97 functional assay agonist antagonist|TMA|Sigma-2 receptor (TMEM97)
TMA kappa opioid receptor OPRK1 binding affinity Ki|TMA|kappa opioid receptor (OPRK1)
TMA kappa opioid receptor OPRK1 receptor pharmacology assay|TMA|kappa opioid receptor (OPRK1)
TMA kappa opioid receptor OPRK1 functional assay agonist antagonist|TMA|kappa opioid receptor (OPRK1)
TMA mu opioid receptor OPRM1 binding affinity Ki|TMA|mu opioid receptor (OPRM1)
TMA mu opioid receptor OPRM1 receptor pharmacology assay|TMA|mu opioid receptor (OPRM1)
TMA mu opioid receptor OPRM1 functional assay agonist antagonist|TMA|mu opioid receptor (OPRM1)
TMA delta opioid receptor OPRD1 binding affinity Ki|TMA|delta opioid receptor (OPRD1)
TMA delta opioid receptor OPRD1 receptor pharmacology assay|TMA|delta opioid receptor (OPRD1)
TMA delta opioid receptor OPRD1 functional assay agonist antagonist|TMA|delta opioid receptor (OPRD1)
TMA NMDA receptor binding affinity Ki|TMA|NMDA receptor
TMA NMDA receptor pharmacology assay|TMA|NMDA receptor
TMA NMDA receptor functional assay agonist antagonist|TMA|NMDA receptor
TMA AMPA receptor binding affinity Ki|TMA|AMPA receptor
TMA AMPA receptor pharmacology assay|TMA|AMPA receptor
TMA AMPA receptor functional assay agonist antagonist|TMA|AMPA receptor
TMA TrkB NTRK2 binding affinity Ki|TMA|TrkB (NTRK2)
TMA TrkB NTRK2 receptor pharmacology assay|TMA|TrkB (NTRK2)
TMA TrkB NTRK2 functional assay agonist antagonist|TMA|TrkB (NTRK2)
TMA CB1 receptor CNR1 binding affinity Ki|TMA|CB1 receptor (CNR1)
TMA CB1 receptor CNR1 receptor pharmacology assay|TMA|CB1 receptor (CNR1)
TMA CB1 receptor CNR1 functional assay agonist antagonist|TMA|CB1 receptor (CNR1)
TMA CB2 receptor CNR2 binding affinity Ki|TMA|CB2 receptor (CNR2)
TMA CB2 receptor CNR2 receptor pharmacology assay|TMA|CB2 receptor (CNR2)
TMA CB2 receptor CNR2 functional assay agonist antagonist|TMA|CB2 receptor (CNR2)
TMA-2 5-HT2A binding affinity Ki|TMA-2|5-HT2A
TMA-2 5-HT2A receptor pharmacology assay|TMA-2|5-HT2A
TMA-2 5-HT2A functional assay agonist antagonist|TMA-2|5-HT2A
TMA-2 5-HT2B binding affinity Ki|TMA-2|5-HT2B
TMA-2 5-HT2B receptor pharmacology assay|TMA-2|5-HT2B
TMA-2 5-HT2B functional assay agonist antagonist|TMA-2|5-HT2B
TMA-2 5-HT2C binding affinity Ki|TMA-2|5-HT2C
TMA-2 5-HT2C receptor pharmacology assay|TMA-2|5-HT2C
TMA-2 5-HT2C functional assay agonist antagonist|TMA-2|5-HT2C
TMA-2 5-HT1A binding affinity Ki|TMA-2|5-HT1A
TMA-2 5-HT1A receptor pharmacology assay|TMA-2|5-HT1A
TMA-2 5-HT1A functional assay agonist antagonist|TMA-2|5-HT1A
TMA-2 5-HT1B binding affinity Ki|TMA-2|5-HT1B
TMA-2 5-HT1B receptor pharmacology assay|TMA-2|5-HT1B
TMA-2 5-HT1B functional assay agonist antagonist|TMA-2|5-HT1B
TMA-2 5-HT1D binding affinity Ki|TMA-2|5-HT1D
TMA-2 5-HT1D receptor pharmacology assay|TMA-2|5-HT1D
TMA-2 5-HT1D functional assay agonist antagonist|TMA-2|5-HT1D
TMA-2 5-HT1E binding affinity Ki|TMA-2|5-HT1E
TMA-2 5-HT1E receptor pharmacology assay|TMA-2|5-HT1E
TMA-2 5-HT1E functional assay agonist antagonist|TMA-2|5-HT1E
TMA-2 5-HT1F binding affinity Ki|TMA-2|5-HT1F
TMA-2 5-HT1F receptor pharmacology assay|TMA-2|5-HT1F
TMA-2 5-HT1F functional assay agonist antagonist|TMA-2|5-HT1F
TMA-2 5-HT5A binding affinity Ki|TMA-2|5-HT5A
TMA-2 5-HT5A receptor pharmacology assay|TMA-2|5-HT5A
TMA-2 5-HT5A functional assay agonist antagonist|TMA-2|5-HT5A
TMA-2 5-HT6 binding affinity Ki|TMA-2|5-HT6
TMA-2 5-HT6 receptor pharmacology assay|TMA-2|5-HT6
TMA-2 5-HT6 functional assay agonist antagonist|TMA-2|5-HT6
TMA-2 5-HT7 binding affinity Ki|TMA-2|5-HT7
TMA-2 5-HT7 receptor pharmacology assay|TMA-2|5-HT7
TMA-2 5-HT7 functional assay agonist antagonist|TMA-2|5-HT7
TMA-2 mGluR2 GRM2 binding affinity Ki|TMA-2|mGluR2 (GRM2)
TMA-2 mGluR2 GRM2 receptor pharmacology assay|TMA-2|mGluR2 (GRM2)
TMA-2 mGluR2 GRM2 functional assay agonist antagonist|TMA-2|mGluR2 (GRM2)
TMA-2 TAAR1 binding affinity Ki|TMA-2|TAAR1
TMA-2 TAAR1 receptor pharmacology assay|TMA-2|TAAR1
TMA-2 TAAR1 functional assay agonist antagonist|TMA-2|TAAR1
TMA-2 SERT SLC6A4 binding affinity Ki|TMA-2|SERT (SLC6A4)
TMA-2 SERT SLC6A4 receptor pharmacology assay|TMA-2|SERT (SLC6A4)
TMA-2 SERT SLC6A4 functional assay agonist antagonist|TMA-2|SERT (SLC6A4)
TMA-2 NET SLC6A2 binding affinity Ki|TMA-2|NET (SLC6A2)
TMA-2 NET SLC6A2 receptor pharmacology assay|TMA-2|NET (SLC6A2)
TMA-2 NET SLC6A2 functional assay agonist antagonist|TMA-2|NET (SLC6A2)
TMA-2 DAT SLC6A3 binding affinity Ki|TMA-2|DAT (SLC6A3)
TMA-2 DAT SLC6A3 receptor pharmacology assay|TMA-2|DAT (SLC6A3)
TMA-2 DAT SLC6A3 functional assay agonist antagonist|TMA-2|DAT (SLC6A3)
TMA-2 VMAT2 SLC18A2 binding affinity Ki|TMA-2|VMAT2 (SLC18A2)
TMA-2 VMAT2 SLC18A2 receptor pharmacology assay|TMA-2|VMAT2 (SLC18A2)
TMA-2 VMAT2 SLC18A2 functional assay agonist antagonist|TMA-2|VMAT2 (SLC18A2)
TMA-2 D1 receptor DRD1 binding affinity Ki|TMA-2|D1 receptor (DRD1)
TMA-2 D1 receptor DRD1 receptor pharmacology assay|TMA-2|D1 receptor (DRD1)
TMA-2 D1 receptor DRD1 functional assay agonist antagonist|TMA-2|D1 receptor (DRD1)
TMA-2 D2 receptor DRD2 binding affinity Ki|TMA-2|D2 receptor (DRD2)
TMA-2 D2 receptor DRD2 receptor pharmacology assay|TMA-2|D2 receptor (DRD2)
TMA-2 D2 receptor DRD2 functional assay agonist antagonist|TMA-2|D2 receptor (DRD2)
